Ride_ID,Customer_ID,Driver_ID,City,Cab_Type,Booking_Time,Trip_Status,Cancellation_Reason,Driver_Rating,Customer_Rating,Distance_km,Fare_Amount,,,
RIDE1034,CUST721,DR41,Chennai,Mini,2023-03-27 21:00:00,Completed,None,4.9,3.4,23.95,564.07,,,
RIDE1035,CUST888,DR88,Delhi,Sedan,2023-01-11 01:00:00,Cancelled by Driver,Change of Plans,3.2,4.5,1.58,680.97,,,
RIDE1036,CUST332,DR96,Chennai,SUV,2023-03-27 01:00:00,Cancelled by Customer,Driver Late,4.6,4.7,5.95,646.6,,,
RIDE1037,CUST662,DR54,Hyderabad,SUV,2023-02-26 19:00:00,Completed,Change of Plans,4.6,3,12.62,581.31,,,
RIDE1038,CUST241,DR15,Delhi,Sedan,2023-02-27 22:00:00,Completed,App Issue,2.8,3.7,3.01,737.5,,,
RIDE1039,CUST493,DR73,Hyderabad,Mini,2023-03-03 14:00:00,Cancelled by Customer,None,3.2,2.1,21.68,329.64,,,
RIDE1040,CUST714,DR55,Delhi,Sedan,2023-02-02 07:00:00,Completed,Driver Late,2.9,2.6,14.94,565.61,,,
RIDE1041,CUST967,DR43,Delhi,Mini,2023-01-02 10:00:00,Completed,App Issue,3.3,4.8,14.36,351.66,,,
RIDE1042,CUST900,DR86,Hyderabad,Mini,2023-03-23 11:00:00,Completed,Change of Plans,3.9,3.4,1.21,678.25,,,
RIDE1043,CUST714,DR30,Delhi,Mini,2023-03-08 01:00:00,Cancelled by Customer,No Show,3.1,3.7,17.3,238.51,,,
RIDE1044,CUST716,DR90,Bangalore,SUV,2023-02-12 13:00:00,Cancelled by Driver,Driver Late,3.1,2.7,11.6,269.39,,,
RIDE1045,CUST671,DR37,Bangalore,Sedan,2023-02-17 01:00:00,Completed,None,4.2,4.8,18.04,592.77,,,
RIDE1046,CUST397,DR88,Chennai,Mini,2023-03-04 12:00:00,Completed,None,4.6,4.8,4.61,639.85,,,
RIDE1047,CUST490,DR11,Mumbai,Sedan,2023-01-30 06:00:00,Completed,Change of Plans,3.2,3.6,14.35,386.29,,,
RIDE1048,CUST929,DR47,Mumbai,Mini,2023-03-07 19:00:00,Cancelled by Driver,None,4.6,4.8,17.36,573.67,,,
RIDE1049,CUST717,DR59,Chennai,SUV,2023-01-07 17:00:00,Completed,None,4.6,4.6,20.11,408.31,,,
RIDE1050,CUST769,DR64,Delhi,Mini,2023-01-09 09:00:00,Completed,None,4.2,3.9,1.12,595.57,,,
RIDE1051,CUST899,DR60,Chennai,Mini,2023-03-24 13:00:00,Completed,Change of Plans,2.9,2.9,13.52,99.47,,,
RIDE1052,CUST653,DR54,Hyderabad,Sedan,2023-02-11 11:00:00,Completed,None,3.9,3,14.42,265.51,,,
RIDE1053,CUST439,DR58,Hyderabad,Mini,2023-02-03 23:00:00,Completed,Change of Plans,2.7,3.6,3.74,560.63,,,
RIDE1054,CUST281,DR26,Delhi,SUV,2023-01-19 23:00:00,Completed,None,2.8,3,15.05,102.54,,,
RIDE1055,CUST686,DR87,Mumbai,SUV,2023-02-23 03:00:00,Completed,No Show,4.9,3.9,21.56,301.07,,,
RIDE1056,CUST630,DR90,Hyderabad,Mini,2023-02-12 08:00:00,Cancelled by Customer,None,3.5,2.3,15.96,601.08,,,
RIDE1057,CUST702,DR39,Chennai,Mini,2023-01-15 01:00:00,Completed,Change of Plans,4.2,2.6,9.29,748.51,,,
RIDE1058,CUST172,DR31,Bangalore,Sedan,2023-02-06 14:00:00,Completed,Change of Plans,3.6,2.8,2.17,608.61,,,
RIDE1059,CUST246,DR97,Bangalore,Sedan,2023-02-14 20:00:00,Completed,None,4.8,3.7,13.02,196.56,,,
RIDE1060,CUST428,DR80,Bangalore,Mini,2023-02-02 23:00:00,Completed,None,3.4,3.8,2.87,271.42,,,
RIDE1061,CUST391,DR83,Hyderabad,Sedan,2023-02-01 19:00:00,Completed,App Issue,4.6,4,7.35,328.3,,,
RIDE1062,CUST441,DR76,Mumbai,Mini,2023-01-16 19:00:00,Completed,None,3,2.2,12.47,507.42,,,
RIDE1063,CUST720,DR73,Mumbai,Sedan,2023-01-21 12:00:00,Completed,Change of Plans,3.4,4.6,7.9,131.1,,,
RIDE1064,CUST394,DR16,Hyderabad,SUV,2023-02-19 04:00:00,Cancelled by Driver,Traffic Delay,3.3,2.3,13.71,624.29,,,
RIDE1065,CUST659,DR95,Bangalore,SUV,2023-03-27 22:00:00,Completed,None,4.7,2.3,8.49,635.56,,,
RIDE1066,CUST218,DR69,Bangalore,SUV,2023-01-03 16:00:00,Completed,Traffic Delay,4.8,3.3,5.8,659.3,,,
RIDE1067,CUST931,DR81,Delhi,SUV,2023-02-26 23:00:00,Completed,None,4.3,4.4,19.22,164.06,,,
RIDE1068,CUST209,DR20,Delhi,SUV,2023-02-18 00:00:00,Completed,No Show,4.9,2.9,15.11,137.89,,,
RIDE1069,CUST439,DR84,Delhi,Mini,2023-03-26 11:00:00,Cancelled by Customer,Driver Late,3.5,2.4,20.18,77.05,,,
RIDE1070,CUST773,DR83,Hyderabad,SUV,2023-03-04 07:00:00,Cancelled by Customer,None,2.9,3,23.17,783.52,,,
RIDE1071,CUST111,DR22,Chennai,Sedan,2023-02-18 10:00:00,Completed,None,4.6,4.5,4.88,737.54,,,
RIDE1072,CUST282,DR31,Hyderabad,Mini,2023-03-05 10:00:00,Cancelled by Customer,None,3.6,2.9,11.04,477.26,,,
RIDE1073,CUST712,DR85,Bangalore,SUV,2023-01-17 07:00:00,Completed,Traffic Delay,4.3,3.9,15.67,586.47,,,
RIDE1074,CUST417,DR20,Hyderabad,Sedan,2023-03-12 18:00:00,Completed,Change of Plans,3.4,3.2,21.81,356.68,,,
RIDE1075,CUST619,DR67,Delhi,SUV,2023-01-18 10:00:00,Completed,Driver Late,3.3,2.6,17.14,165.56,,,
RIDE1076,CUST276,DR48,Chennai,Mini,2023-01-16 18:00:00,Completed,No Show,4,2.7,3.79,101.82,,,
RIDE1077,CUST122,DR26,Delhi,SUV,2023-03-16 20:00:00,Completed,None,2.7,2.4,3.58,176.13,,,
RIDE1078,CUST167,DR11,Chennai,Mini,2023-03-29 00:00:00,Completed,Traffic Delay,4.1,4.2,24.97,330.52,,,
RIDE1079,CUST715,DR79,Delhi,Mini,2023-01-09 08:00:00,Cancelled by Driver,No Show,3.4,3.2,23.74,121.16,,,
RIDE1080,CUST975,DR88,Bangalore,Mini,2023-03-19 15:00:00,Completed,None,4.8,2.1,17.6,707.18,,,
RIDE1081,CUST926,DR79,Hyderabad,SUV,2023-02-02 11:00:00,Completed,App Issue,2.6,4.6,22.34,259.46,,,
RIDE1082,CUST110,DR16,Chennai,Sedan,2023-01-21 22:00:00,Completed,No Show,4.2,2.3,11.93,601.46,,,
RIDE1083,CUST517,DR36,Bangalore,Mini,2023-03-14 23:00:00,Completed,Driver Late,4.2,3.7,21.38,594.54,,,
RIDE1084,CUST108,DR54,Delhi,Mini,2023-02-03 12:00:00,Completed,Driver Late,4.1,2.6,22.37,99.37,,,
RIDE1085,CUST827,DR78,Mumbai,Mini,2023-03-20 23:00:00,Cancelled by Customer,Change of Plans,4.5,2.5,22.73,62.8,,,
RIDE1086,CUST301,DR70,Bangalore,Mini,2023-03-07 10:00:00,Completed,None,4.1,3.2,21.11,69.37,,,
RIDE1087,CUST746,DR95,Bangalore,Mini,2023-02-10 00:00:00,Completed,Traffic Delay,3.7,3.5,24.36,342.79,,,
RIDE1088,CUST871,DR20,Mumbai,Mini,2023-03-03 21:00:00,Cancelled by Customer,None,4.3,3.3,1.94,337.98,,,
RIDE1089,CUST836,DR30,Mumbai,Mini,2023-02-12 20:00:00,Completed,Traffic Delay,2.7,3.5,7.3,669.53,,,
RIDE1090,CUST514,DR33,Bangalore,Sedan,2023-01-21 22:00:00,Completed,No Show,4.1,4.7,13.54,681.74,,,
RIDE1091,CUST276,DR99,Bangalore,Sedan,2023-01-17 13:00:00,Cancelled by Driver,App Issue,4.5,4.4,14.03,104.15,,,
RIDE1092,CUST319,DR26,Bangalore,Mini,2023-02-06 06:00:00,Completed,None,4.1,4.7,2.88,250.31,,,
RIDE1093,CUST622,DR81,Mumbai,Sedan,2023-01-17 08:00:00,Cancelled by Customer,None,2.8,2.8,18.9,643.78,,,
RIDE1094,CUST817,DR14,Delhi,Sedan,2023-01-09 14:00:00,Completed,No Show,4.4,2,22.89,556.78,,,
RIDE1095,CUST358,DR99,Hyderabad,Mini,2023-02-13 06:00:00,Completed,App Issue,3.8,2.1,5.86,410.43,,,
RIDE1096,CUST450,DR60,Bangalore,Sedan,2023-03-20 09:00:00,Completed,None,3.3,3,16.06,405.82,,,
RIDE1097,CUST448,DR98,Hyderabad,Sedan,2023-03-03 20:00:00,Cancelled by Customer,Traffic Delay,3.4,2.1,6.74,782.92,,,
RIDE1098,CUST257,DR44,Mumbai,Sedan,2023-02-05 23:00:00,Completed,No Show,4.4,4.5,24.38,739.59,,,
RIDE1099,CUST479,DR40,Delhi,Mini,2023-01-24 11:00:00,Completed,None,2.8,3.1,16.66,554.02,,,
RIDE1100,CUST972,DR41,Chennai,Mini,2023-02-12 12:00:00,Cancelled by Driver,App Issue,4.2,3.3,18.01,194.11,,,
RIDE1101,CUST867,DR93,Bangalore,Mini,2023-01-04 23:00:00,Completed,Traffic Delay,3.5,2.1,1.05,417,,,
RIDE1102,CUST225,DR46,Chennai,SUV,2023-03-22 03:00:00,Completed,App Issue,3.7,4.1,1.13,445.81,,,
RIDE1103,CUST972,DR19,Bangalore,SUV,2023-03-15 05:00:00,Completed,None,3.1,3.2,6.83,66.2,,,
RIDE1104,CUST761,DR87,Chennai,Mini,2023-03-11 22:00:00,Completed,No Show,4.1,4.6,7.55,444.89,,,
RIDE1105,CUST542,DR58,Mumbai,SUV,2023-01-23 12:00:00,Completed,Traffic Delay,2.6,3.7,12.15,193.15,,,
RIDE1106,CUST424,DR62,Chennai,Mini,2023-02-14 03:00:00,Cancelled by Driver,None,4.6,3.4,1.29,215.3,,,
RIDE1107,CUST980,DR66,Chennai,SUV,2023-02-19 07:00:00,Completed,None,3.5,3.6,21.31,508.2,,,
RIDE1108,CUST886,DR35,Mumbai,Mini,2023-03-13 18:00:00,Completed,Traffic Delay,4.4,3.2,21.7,424.36,,,
RIDE1109,CUST329,DR66,Delhi,Mini,2023-03-17 19:00:00,Cancelled by Driver,None,5,4.1,1.35,626.59,,,
RIDE1110,CUST141,DR80,Delhi,Sedan,2023-03-08 13:00:00,Cancelled by Customer,None,3.9,2.7,11.11,407.69,,,
RIDE1111,CUST531,DR47,Bangalore,Mini,2023-02-03 03:00:00,Completed,Change of Plans,3.6,3,5.75,247.75,,,
RIDE1112,CUST250,DR65,Delhi,Sedan,2023-02-13 19:00:00,Completed,None,2.8,3.3,3.86,173.3,,,
RIDE1113,CUST200,DR67,Hyderabad,Mini,2023-03-10 11:00:00,Cancelled by Customer,Traffic Delay,3.5,3.6,19.98,214.26,,,
RIDE1114,CUST956,DR81,Mumbai,Sedan,2023-02-26 19:00:00,Completed,No Show,4.2,4,19.38,703.95,,,
RIDE1115,CUST601,DR30,Mumbai,SUV,2023-03-24 13:00:00,Completed,Traffic Delay,3.4,4.3,16.83,790.98,,,
RIDE1116,CUST206,DR15,Bangalore,Sedan,2023-02-26 10:00:00,Completed,None,4.2,2.6,20.22,412.92,,,
RIDE1117,CUST609,DR55,Hyderabad,SUV,2023-03-11 07:00:00,Cancelled by Customer,None,3.6,3.3,24.43,160.61,,,
RIDE1118,CUST203,DR89,Bangalore,Sedan,2023-03-05 17:00:00,Completed,None,4.3,4.9,16.8,770.31,,,
RIDE1119,CUST889,DR87,Bangalore,SUV,2023-03-26 22:00:00,Completed,Traffic Delay,3.5,2.9,2.75,702.73,,,
RIDE1120,CUST885,DR78,Mumbai,Mini,2023-03-04 08:00:00,Completed,None,4.9,4.8,18.89,296.73,,,
RIDE1121,CUST799,DR78,Hyderabad,SUV,2023-02-28 16:00:00,Completed,None,3.1,3.2,21.02,558.95,,,
RIDE1122,CUST483,DR46,Hyderabad,Mini,2023-02-28 08:00:00,Completed,None,2.8,3.6,3.36,124.58,,,
RIDE1123,CUST911,DR37,Delhi,Mini,2023-02-24 10:00:00,Cancelled by Driver,None,3,2.5,9.3,639.66,,,
RIDE1124,CUST861,DR63,Delhi,Mini,2023-02-10 12:00:00,Cancelled by Customer,None,2.8,4.2,19.7,237.79,,,
RIDE1125,CUST234,DR84,Hyderabad,Mini,2023-03-15 16:00:00,Completed,Traffic Delay,3.7,3.6,5.74,84.74,,,
RIDE1126,CUST844,DR91,Hyderabad,Mini,2023-02-23 10:00:00,Completed,None,4,4.6,22.94,206.92,,,
RIDE1127,CUST113,DR32,Bangalore,SUV,2023-01-30 13:00:00,Completed,No Show,2.6,4.7,16.53,231.07,,,
RIDE1128,CUST480,DR73,Hyderabad,SUV,2023-03-03 15:00:00,Completed,No Show,4.2,3.1,8.48,492.8,,,
RIDE1129,CUST303,DR38,Delhi,SUV,2023-03-01 18:00:00,Cancelled by Customer,None,4,3.4,7.49,123.73,,,
RIDE1130,CUST656,DR62,Hyderabad,Mini,2023-01-28 00:00:00,Completed,App Issue,4.4,3.4,19.96,543.49,,,
RIDE1131,CUST112,DR87,Hyderabad,SUV,2023-01-14 05:00:00,Cancelled by Customer,No Show,3.4,3.9,24.69,229.99,,,
RIDE1132,CUST556,DR25,Bangalore,Sedan,2023-02-22 09:00:00,Completed,Change of Plans,2.8,3.3,16.44,741,,,
RIDE1133,CUST170,DR90,Mumbai,Mini,2023-01-29 11:00:00,Completed,Change of Plans,3,3.9,18.01,243.42,,,
RIDE1134,CUST978,DR44,Bangalore,SUV,2023-01-28 15:00:00,Completed,None,2.6,3.7,8.22,648.3,,,
RIDE1135,CUST138,DR96,Mumbai,Mini,2023-03-25 06:00:00,Completed,None,3.7,2.2,22.32,79.82,,,
RIDE1136,CUST124,DR15,Mumbai,Mini,2023-03-09 23:00:00,Cancelled by Customer,None,3.2,3,4.12,341.83,,,
RIDE1137,CUST503,DR69,Chennai,Mini,2023-03-04 07:00:00,Cancelled by Driver,Traffic Delay,4.9,3.8,11.99,485.46,,,
RIDE1138,CUST999,DR45,Mumbai,Mini,2023-02-17 08:00:00,Completed,App Issue,3.1,2.8,2.7,480.08,,,
RIDE1139,CUST414,DR56,Mumbai,Mini,2023-03-19 05:00:00,Completed,Change of Plans,4.9,3.7,2.48,569.21,,,
RIDE1140,CUST741,DR15,Bangalore,SUV,2023-03-05 08:00:00,Completed,No Show,3.5,4.4,13.01,483.17,,,
RIDE1141,CUST917,DR21,Mumbai,SUV,2023-01-24 11:00:00,Completed,Change of Plans,3.9,4.7,5.87,312.91,,,
RIDE1142,CUST850,DR46,Chennai,SUV,2023-02-23 19:00:00,Completed,None,2.8,2.1,17.41,321.11,,,
RIDE1143,CUST161,DR23,Hyderabad,Mini,2023-03-10 04:00:00,Completed,None,4.7,3.7,18.13,111.5,,,
RIDE1144,CUST762,DR24,Hyderabad,SUV,2023-01-30 02:00:00,Completed,None,2.9,3.9,16.22,426.51,,,
RIDE1145,CUST691,DR68,Delhi,SUV,2023-01-01 01:00:00,Cancelled by Customer,None,5,4.2,3.77,701.37,,,
RIDE1146,CUST308,DR40,Chennai,Mini,2023-01-27 17:00:00,Cancelled by Driver,Driver Late,4.1,4.2,13.55,416.77,,,
RIDE1147,CUST391,DR25,Hyderabad,Sedan,2023-03-08 05:00:00,Completed,None,4.3,3.5,11.11,285.48,,,
RIDE1148,CUST644,DR90,Hyderabad,Mini,2023-02-05 14:00:00,Completed,None,3.8,4.6,19.19,440.94,,,
RIDE1149,CUST650,DR51,Mumbai,Sedan,2023-03-15 07:00:00,Cancelled by Driver,Traffic Delay,4.7,3.4,1.23,149.38,,,
RIDE1150,CUST501,DR37,Hyderabad,Mini,2023-03-11 05:00:00,Completed,None,3.1,3.8,21.31,758.05,,,
RIDE1151,CUST870,DR89,Delhi,Sedan,2023-02-18 01:00:00,Completed,Driver Late,3,2.2,14.56,51.4,,,
RIDE1152,CUST948,DR30,Hyderabad,Sedan,2023-02-14 20:00:00,Completed,Change of Plans,3.3,2.5,11.35,445.51,,,
RIDE1153,CUST546,DR69,Mumbai,SUV,2023-03-13 03:00:00,Cancelled by Customer,None,3.4,3.5,13.34,332.74,,,
RIDE1154,CUST677,DR91,Chennai,Mini,2023-03-12 15:00:00,Cancelled by Customer,No Show,4,2.4,19.69,470.54,,,
RIDE1155,CUST690,DR85,Chennai,SUV,2023-03-14 05:00:00,Cancelled by Customer,App Issue,3.1,3.7,24.87,169.09,,,
RIDE1156,CUST909,DR71,Mumbai,Sedan,2023-03-01 23:00:00,Completed,None,4.2,3.3,19.44,571.1,,,
RIDE1157,CUST431,DR50,Delhi,Mini,2023-02-04 19:00:00,Completed,None,3.9,2.5,11.48,273.23,,,
RIDE1158,CUST636,DR31,Delhi,SUV,2023-01-09 10:00:00,Completed,Change of Plans,4.7,2.8,18.34,172.26,,,
RIDE1159,CUST260,DR54,Chennai,SUV,2023-01-06 02:00:00,Cancelled by Customer,None,4.4,2.3,7.76,692.85,,,
RIDE1160,CUST906,DR47,Hyderabad,Sedan,2023-01-17 16:00:00,Completed,No Show,3.9,4.1,4.74,520.09,,,
RIDE1161,CUST509,DR84,Chennai,SUV,2023-02-01 22:00:00,Completed,None,2.6,2.5,23.33,717.62,,,
RIDE1162,CUST889,DR68,Mumbai,SUV,2023-01-13 05:00:00,Completed,Traffic Delay,4.4,2.3,10.4,364.38,,,
RIDE1163,CUST536,DR67,Bangalore,SUV,2023-01-09 05:00:00,Cancelled by Customer,Change of Plans,3.9,3.3,11.6,518.17,,,
RIDE1164,CUST358,DR61,Delhi,SUV,2023-03-22 10:00:00,Cancelled by Customer,No Show,3.9,4.2,1.53,203.8,,,
RIDE1165,CUST828,DR55,Bangalore,Sedan,2023-01-26 08:00:00,Cancelled by Customer,None,3.7,2.9,22.56,138.72,,,
RIDE1166,CUST933,DR33,Hyderabad,Sedan,2023-02-17 19:00:00,Completed,Traffic Delay,4,4.6,6.74,725.11,,,
RIDE1167,CUST124,DR21,Delhi,Mini,2023-01-08 18:00:00,Cancelled by Driver,None,4.5,3.6,17.1,340.34,,,
RIDE1168,CUST598,DR71,Bangalore,Sedan,2023-03-16 18:00:00,Completed,None,3.9,3.8,17.69,374.34,,,
RIDE1169,CUST873,DR37,Mumbai,SUV,2023-01-28 11:00:00,Completed,None,4.8,2.8,13.12,575.23,,,
RIDE1170,CUST931,DR42,Mumbai,Sedan,2023-03-23 11:00:00,Completed,None,3.4,4.9,20.55,547.46,,,
RIDE1171,CUST964,DR71,Delhi,Sedan,2023-02-27 01:00:00,Cancelled by Customer,Driver Late,4.9,2.3,17.39,190.86,,,
RIDE1172,CUST546,DR63,Hyderabad,SUV,2023-03-24 18:00:00,Completed,None,5,4.7,5.83,356.18,,,
RIDE1173,CUST817,DR15,Bangalore,SUV,2023-03-05 22:00:00,Completed,None,3.6,4.9,12.74,742.26,,,
RIDE1174,CUST525,DR89,Chennai,Sedan,2023-01-07 02:00:00,Cancelled by Driver,Traffic Delay,3.5,2.2,21.79,67.5,,,
RIDE1175,CUST374,DR56,Bangalore,SUV,2023-03-14 06:00:00,Completed,None,4.2,4.3,20.72,744.71,,,
RIDE1176,CUST423,DR84,Hyderabad,Sedan,2023-03-18 19:00:00,Completed,None,2.8,2,6.59,208.98,,,
RIDE1177,CUST647,DR29,Chennai,Sedan,2023-01-21 08:00:00,Completed,No Show,3.5,3.3,15.83,215.68,,,
RIDE1178,CUST456,DR11,Mumbai,Mini,2023-03-23 15:00:00,Completed,No Show,5,2.6,3.61,540.4,,,
RIDE1179,CUST373,DR45,Hyderabad,Mini,2023-03-11 07:00:00,Cancelled by Customer,None,3.8,3.9,3.62,744.2,,,
RIDE1180,CUST141,DR55,Bangalore,Mini,2023-01-27 16:00:00,Completed,None,3.9,3.3,16.06,385.83,,,
RIDE1181,CUST693,DR87,Mumbai,Sedan,2023-03-17 02:00:00,Cancelled by Customer,None,2.9,2.4,15.86,559.98,,,
RIDE1182,CUST843,DR39,Bangalore,Sedan,2023-03-24 01:00:00,Completed,No Show,3.9,2.3,9.54,218.26,,,
RIDE1183,CUST119,DR40,Mumbai,Sedan,2023-03-01 22:00:00,Completed,Driver Late,3.3,3.5,12.89,245.78,,,
RIDE1184,CUST787,DR73,Mumbai,Mini,2023-03-10 02:00:00,Cancelled by Customer,Traffic Delay,2.5,2.9,4.18,701.86,,,
RIDE1185,CUST762,DR24,Mumbai,SUV,2023-01-11 22:00:00,Completed,Traffic Delay,4.7,3.5,21.24,258.78,,,
RIDE1186,CUST909,DR93,Mumbai,SUV,2023-03-16 11:00:00,Completed,None,2.8,3.6,2.42,749.99,,,
RIDE1187,CUST401,DR66,Mumbai,Mini,2023-01-26 23:00:00,Completed,Traffic Delay,4.4,4.5,3.68,235.84,,,
RIDE1188,CUST513,DR60,Hyderabad,Mini,2023-02-12 08:00:00,Cancelled by Driver,Traffic Delay,4.4,3.1,9.7,278.16,,,
RIDE1189,CUST866,DR90,Mumbai,SUV,2023-02-06 16:00:00,Completed,None,3.4,3.1,3.39,563.13,,,
RIDE1190,CUST578,DR51,Mumbai,Sedan,2023-03-27 09:00:00,Cancelled by Driver,Traffic Delay,4.1,4.9,3.7,484.93,,,
RIDE1191,CUST944,DR29,Hyderabad,Sedan,2023-02-25 07:00:00,Completed,None,2.6,2.5,4.63,54.3,,,
RIDE1192,CUST670,DR15,Hyderabad,SUV,2023-01-19 20:00:00,Completed,None,4.4,3.2,3.93,684.45,,,
RIDE1193,CUST754,DR41,Bangalore,SUV,2023-02-19 07:00:00,Completed,No Show,4.4,3.8,18.1,118.29,,,
RIDE1194,CUST357,DR98,Hyderabad,SUV,2023-03-27 16:00:00,Completed,None,2.6,3.9,21.79,416.22,,,
RIDE1195,CUST574,DR42,Mumbai,Sedan,2023-03-12 02:00:00,Completed,App Issue,4.8,2.7,7.07,356.04,,,
RIDE1196,CUST761,DR61,Hyderabad,SUV,2023-02-18 02:00:00,Completed,Change of Plans,4.7,4.4,11.73,454.05,,,
RIDE1197,CUST407,DR91,Bangalore,SUV,2023-01-17 19:00:00,Completed,None,3.3,2.2,11.29,411.76,,,
RIDE1198,CUST763,DR27,Mumbai,Mini,2023-03-29 13:00:00,Completed,None,4.2,2.2,23.02,698.28,,,
RIDE1199,CUST491,DR42,Chennai,Mini,2023-03-12 16:00:00,Cancelled by Customer,None,4.5,4.5,16.41,684.98,,,
RIDE1200,CUST907,DR27,Mumbai,Sedan,2023-01-27 03:00:00,Completed,Driver Late,4.4,2.3,22.71,388.69,,,
RIDE1201,CUST140,DR58,Delhi,SUV,2023-01-25 10:00:00,Completed,Change of Plans,4.9,2.2,11.77,798.6,,,
RIDE1202,CUST715,DR78,Hyderabad,SUV,2023-03-10 16:00:00,Completed,Change of Plans,4.5,3.2,20.13,371.81,,,
